id,year,State,new_agi_stub,Returns,Single,Joint,Hd_of_Hshld,AGI_Amt,Std_Ded_Charity_Returns,Std_Ded_Charity_Amt,Std_Ded_Returns,Std_Ded_Amt,Itemized_Ded_Returns,Itemized_Ded_Amt,Charitable_Returns,Charitable_Amt
144,2012,MS,1.0,589990.0,,69150.0,201450.0,7701112.0,,,,,31020.0,441780.0,21860.0,61769.0
145,2012,MS,2.0,301400.0,,89560.0,91950.0,10699261.0,,,,,71600.0,1133173.0,56480.0,211978.0
146,2012,MS,3.0,144950.0,,85160.0,19650.0,8919784.0,,,,,61310.0,1126909.0,50290.0,231610.0
147,2012,MS,4.0,84130.0,,66900.0,4960.0,7288142.0,,,,,46880.0,956561.0,40390.0,213839.0
148,2012,MS,5.0,90220.0,,79250.0,2540.0,12127250.0,,,,,68910.0,1701203.0,61690.0,423606.0
149,2012,MS,6.0,21490.0,,18970.0,450.0,10187906.0,,,,,20500.0,1268599.0,19010.0,375794.0
150,2012,MO,1.0,1107650.0,,159690.0,196770.0,13488344.0,,,,,68720.0,1008074.0,43370.0,88503.0
151,2012,MO,2.0,656080.0,,220440.0,112510.0,23647835.0,,,,,143520.0,2046644.0,98550.0,247334.0
152,2012,MO,3.0,371240.0,,225150.0,31220.0,22891278.0,,,,,155640.0,2558945.0,118430.0,349204.0
153,2012,MO,4.0,230080.0,,182070.0,9920.0,19976787.0,,,,,136990.0,2569354.0,112170.0,369455.0
154,2012,MO,5.0,252640.0,,220310.0,6210.0,33994844.0,,,,,209750.0,4950400.0,186350.0,796491.0
155,2012,MO,6.0,66680.0,,58570.0,1360.0,36046914.0,,,,,65220.0,4592357.0,61470.0,1092814.0
156,2012,MT,1.0,199660.0,,30390.0,23810.0,2406602.0,,,,,15740.0,231958.0,10050.0,16918.0
157,2012,MT,2.0,113130.0,,42060.0,13870.0,4087410.0,,,,,28800.0,420321.0,19350.0,41220.0
158,2012,MT,3.0,66230.0,,42140.0,4080.0,4097783.0,,,,,29960.0,508160.0,22420.0,58193.0
159,2012,MT,4.0,42190.0,,34130.0,1380.0,3686758.0,,,,,25360.0,491740.0,20050.0,58296.0
160,2012,MT,5.0,42070.0,,36630.0,850.0,5666084.0,,,,,33350.0,801922.0,28690.0,113836.0
161,2012,MT,6.0,10630.0,,9240.0,210.0,5362630.0,,,,,10140.0,663786.0,9330.0,149923.0
162,2012,NE,1.0,322150.0,,38520.0,46920.0,3929451.0,,,,,19450.0,304279.0,12920.0,23849.0
163,2012,NE,2.0,213900.0,,66890.0,33920.0,7739213.0,,,,,43440.0,625840.0,30310.0,67626.0
164,2012,NE,3.0,125720.0,,80430.0,8360.0,7787020.0,,,,,49200.0,809225.0,38630.0,100174.0
165,2012,NE,4.0,82470.0,,69020.0,2330.0,7193771.0,,,,,46940.0,878950.0,40150.0,119767.0
166,2012,NE,5.0,91770.0,,82270.0,1540.0,12616851.0,,,,,74740.0,1768724.0,68620.0,290847.0
167,2012,NE,6.0,23110.0,,20540.0,340.0,12772032.0,,,,,21930.0,1581690.0,20990.0,439151.0
168,2012,NV,1.0,493850.0,,64930.0,101960.0,6603588.0,,,,,34890.0,519984.0,22320.0,33497.0
169,2012,NV,2.0,348180.0,,94580.0,81450.0,12444511.0,,,,,78190.0,1209315.0,58940.0,115197.0
170,2012,NV,3.0,174530.0,,86420.0,21350.0,10731038.0,,,,,71920.0,1305516.0,57880.0,142472.0
171,2012,NV,4.0,101100.0,,68650.0,7450.0,8732689.0,,,,,53820.0,1130851.0,45030.0,131796.0
